Price,Close,High,Low,Open,Volume
Ticker,GP,GP,GP,GP,GP
Date,,,,,
2024-11-27,1.0099999904632568,1.034999966621399,0.9200000166893005,0.9200000166893005,315800
2024-11-29,0.9940000176429749,1.0299999713897705,0.9390000104904175,1.0099999904632568,101900
2024-12-02,0.9700000286102295,1.0,0.9200000166893005,0.9700000286102295,251100
2024-12-03,0.9449999928474426,0.9900000095367432,0.921999990940094,0.9900000095367432,75800
2024-12-04,0.8849999904632568,0.949999988079071,0.8629999756813049,0.9200000166893005,193500
2024-12-05,0.9259999990463257,0.9399999976158142,0.8600000143051147,0.8799999952316284,91600
2024-12-06,0.8999999761581421,0.9399999976158142,0.8899999856948853,0.9200000166893005,102200
2024-12-09,0.878000020980835,0.9369999766349792,0.8700000047683716,0.9200000166893005,161100
2024-12-10,0.8989999890327454,0.9100000262260437,0.8500000238418579,0.8820000290870667,122200
2024-12-11,0.8679999709129333,0.9200000166893005,0.8500000238418579,0.9100000262260437,117800
2024-12-12,0.8429999947547913,0.8799999952316284,0.8399999737739563,0.8679999709129333,112800
2024-12-13,0.7900000214576721,0.8700000047683716,0.75,0.8690000176429749,215300
2024-12-16,0.8080000281333923,0.8240000009536743,0.7900000214576721,0.7910000085830688,129200
2024-12-17,0.796999990940094,0.8100000023841858,0.7799999713897705,0.8080000281333923,110900
2024-12-18,0.7549999952316284,0.8080000281333923,0.7400000095367432,0.7910000085830688,199600
2024-12-19,0.7680000066757202,0.800000011920929,0.7459999918937683,0.7789999842643738,171400
2024-12-20,0.75,0.7649999856948853,0.7400000095367432,0.7649999856948853,319400
2024-12-23,0.7200000286102295,0.7789999842643738,0.7129999995231628,0.7789999842643738,274400
2024-12-24,0.7419999837875366,0.75,0.7129999995231628,0.7200000286102295,74900
2024-12-26,0.7950000166893005,0.800000011920929,0.7400000095367432,0.75,158500
2024-12-27,0.7580000162124634,0.800000011920929,0.7269999980926514,0.800000011920929,150500
2024-12-30,0.7409999966621399,0.7599999904632568,0.7300000190734863,0.7400000095367432,133700
